sample	PRS
hu00698E	-2.29773069795071
hu03E466	-2.89899308375331
hu05F442	-0.658736777061416
hu05FD49	-11.4397941229391
hu016B28	-5.54938261581208
hu034DB1	-2.96302512872552
hu065B67	-8.7168152053434
hu0C0779	0.186196142555755
hu0DEE68	-6.40453408629512
hu0E7AAF	-0.165599590689152
hu0E64A1	-5.53782257776299
hu1B2689	-8.56977040208527
hu1BD549	-0.630990276730794
hu1DD730	-1.72557351060727
hu1EE386	-2.04996995713159
hu1F73AB	-1.05412896053461
hu2B8562	-2.00072376059773
hu2BC187	6.85415390005659
hu3C0611	-0.792577173769885
hu3C86DB	1.76356079764825
hu3CAB43	-4.96617820807603
hu3CEAE6	0.42029704205983
hu3DC5EA	2.73222666614684
hu3E2659	-1.18200699993861
hu3F8570	3.40285756416241
hu4B3CE7	-4.28939700617086
hu4B3FF4	-8.98975369890279
hu4B11A3	-6.5394388455845
hu4BE6F2	0.732487393609329
hu4C20BC	-1.59314121163159
hu4C3094	-7.90246456862321
hu4CA5B9	-6.58327560157576
hu4D906B	-6.51808121480111
hu4DB380	-4.32286769713538
hu4DE348	-1.57896646837454
hu5A61B8	-3.49595149357936
hu5AE862	-6.10615431893833
hu5BB600	0.0986652178929733
hu5CABA7	0.818011647965028
hu5D9DE3	-3.83799265832654
hu5DE8CD	-7.70764777842948
hu5F0DCB	-11.5016940257551
hu5FF6B0	-1.23516892715899
hu6B7829	-0.867465913929969
hu6D50BE	0.938996587905968
hu6D1115	-2.89942845774025
hu6FECE9	-0.0281213678121434
hu7A2F1D	-2.49954804149381
hu7B4393	1.09760381147063
hu7DE7FD	-15.8460312031378
hu7ECB9C	-3.10127567660436
hu7FA667	0.0671424161247614
hu8A5FBF	-12.3388992764565
hu8B4E43	-3.70979166066123
hu8B3865	-5.04956583712411
hu8D99F6	-3.9145905612648
hu8E82F1	0.797397843782498
hu9E6329	0.634018771494459
hu9FEC32	4.3078327468142
hu17DFDB	-0.141529107518901
hu19C09F	1.67770399055407
hu34BA70	-10.1875526145676
hu35E970	-3.92268748008892
hu48C4EB	2.69205670652445
hu57C9FD	-13.5412437612327
hu60AB7C	-2.52633978833175
hu72C17A	-10.4210480119297
hu76CAA5	3.27005758152151
hu77CC58	1.93375732842714
hu81BCA8	-9.49467718926952
hu83E9B9	-1.72700113465185
hu85C7B9	4.09039606370109
hu92F252	1.03213701554028
hu101EF8	5.3015954006567
hu117D1E	-0.531249236615338
hu379AE4	-0.951985086157085
hu524B5B	-1.34547289032185
hu569A8F	-5.12441600802638
hu580BA5	-4.54752392663368
hu756A82	0.529018418462205
hu836D0A	-0.416730914959168
hu851AB8	-1.03332013660989
hu925B56	-1.36724285668977
hu1187FF	-2.4487623120039
hu1243B6	-4.24889625277829
hu8209C4	-1.72351191743249
hu8602F1	-0.8934803491655
hu14262A	-6.40702991651642
hu21731A	-0.0448904363553701
hu28391C	-1.37826481674002
hu30888B	-4.21785510118686
hu35071E	3.95203439975466
hu35389E	4.27698613355619
hu43294F	-0.109652237112846
hu43860C	-3.68396406569198
hu53075C	-4.72610059376237
hu72076D	-4.41328592009081
hu96713F	3.12696470147572
hu450107	-4.39207540525294
hu500536	-9.95151427255749
hu627574	-10.5609933757208
hu635045	-7.99953104284768
hu741459	1.19194280203402
hu826751	0.156820824086409
hu868880	-7.0128344569602
huA5B645	-3.52424666170888
huA720D3	-2.17316812453339
huA33758	0.540445788972366
huA55602	2.49656954208384
huAC827A	-6.35354217107455
huAC3640	3.19374908617321
huAC9980	-0.0169379290577745
huAD4723	-5.13015082323422
huADF414	-6.42475835787008
huAEADC0	1.33985973225002
huAF3C63	-4.60558987024213
huB5A0DF	1.75271517682431
huB63C0C	-3.87160918035825
huB828CB	-7.10237113083176
huB1488D	-1.68991371274051
huB10361	-8.84807384692362
huBE37B9	-1.97891566813484
huC3ECD9	-4.83967216856365
huC4A276	2.07762687528678
huC87AD4	-2.03558340593076
huC92BC9	-15.9421271972747
huC244BC	1.55608119797943
huC434ED	-1.70403332806547
huD00199	-3.49221787585419
huD0D2F9	-0.563281640415313
huD2F73D	-14.7898087739046
huD8A898	-2.1777973387442
huD10FBC	-6.38769358452408
huD57BBF	0.429025345618974
huD58ABC	-0.175875440834488
huD588DE	-6.31326522542956
huD85057	0.837049328125703
huDA2757	1.07865030745413
huDBDF82	-3.542171468596
huDD6E7A	-1.09451188304556
huE9B698	6.19977920759596
huE9E383	2.18285933971644
huE9E777	1.38688466349961
huE77B10	1.29258194583227
huE35226	0.793016552754196
huE86317	-3.84396506224846
huEBFE01	-3.43173756565401
huEC6EEC	-4.58348574411342
huED0F40	-0.319114750036709
huEDF7DA	-7.66655962755732
huF7E042	-5.7851605868273
huFD4AD3	1.80621517908725
huFE0257	1.35808762002417
huFE71F3	-9.01422516037672
huFF6AB4	0.586280229896573
