sample	PRS
hu00698E	-5.4854737
hu03E466	-5.7276559
hu065B67	-12.5273233
hu2BC187	3.9916361
hu4C3094	-11.7195341
hu4DE348	-5.2415870
hu5A61B8	-7.9976742
hu5FF6B0	-5.0048248
hu6B7829	-3.5757530
hu6D1115	-5.8297076
hu6FECE9	-4.7043193
hu7ECB9C	-6.4258029
hu8B3865	-8.0996498
hu8D99F6	-7.5121818
hu17DFDB	-4.4927675
hu35E970	-7.1740196
hu756A82	-3.6500202
hu1243B6	-7.3200648
hu8209C4	-5.5570835
hu35389E	0.6695226
huAC3640	-2.1698224
huAC9980	-2.9988566
huAD4723	-8.7923296
huC87AD4	-6.2516225
huC244BC	-1.4666096
huD8A898	-5.4387476
huD57BBF	-3.4421320
huD85057	-3.2345702
huDA2757	-1.7589332
huDBDF82	-6.3259133
huEBFE01	-6.5913063
huFE0257	-1.4546835
